"fixture_id","event_time_elapsed","event_time_extra","team_id","team_name","player_id","player_name","assist_id","assist_name","event_type","event_detail","event_comments"
1378969,14,NA,35,"Bournemouth",18870,"David Brooks",NA,NA,"Card","Yellow Card","Time wasting"
1378969,37,NA,40,"Liverpool",174565,"H. Ekitike",6716,"A. Mac Allister","Goal","Normal Goal",NA
1378969,43,NA,40,"Liverpool",206254,"Miloš Kerkez",NA,NA,"Card","Yellow Card","Foul"
1378969,49,NA,40,"Liverpool",247,"C. Gakpo",174565,"H. Ekitike","Goal","Normal Goal",NA
1378969,60,NA,40,"Liverpool",152654,"J. Frimpong",8500,"W. Endo","subst","Substitution 1",NA
1378969,60,NA,40,"Liverpool",206254,"M. Kerkez",289,"A. Robertson","subst","Substitution 2",NA
1378969,64,NA,35,"Bournemouth",19281,"A. Semenyo",18870,"D. Brooks","Goal","Normal Goal",NA
1378969,72,NA,40,"Liverpool",174565,"H. Ekitike",284,"J. Gomez","subst","Substitution 3",NA
1378969,72,NA,40,"Liverpool",6716,"A. Mac Allister",293,"C. Jones","subst","Substitution 4",NA
1378969,74,NA,35,"Bournemouth",304853,"A. Scott",31057,"H. J. Traore","subst","Substitution 3",NA
1378969,76,NA,35,"Bournemouth",19281,"A. Semenyo",31057,"H. J. Traore","Goal","Normal Goal",NA
1378969,81,NA,35,"Bournemouth",152856,"Evanilson",NA,NA,"Card","Yellow Card","Foul"
1378969,82,NA,40,"Liverpool",203224,"F. Wirtz",30410,"F. Chiesa","subst","Substitution 7",NA
1378969,84,NA,35,"Bournemouth",18870,"D. Brooks",402432,"B. Winterburn","subst","Substitution 5",NA
1378969,88,NA,40,"Liverpool",30410,"F. Chiesa",NA,NA,"Goal","Normal Goal",NA
1378969,90,1,35,"Bournemouth",1150,"T. Adams",368030,"E. J. Kroupi","subst","Substitution 8",NA
1378969,90,NA,35,"Bournemouth",18869,"A. Smith",20093,"J. Hill","subst","Substitution 9",NA
1378969,90,NA,40,"Liverpool",306,"M. Salah",8500,"W. Endo","Goal","Normal Goal",NA
1378970,45,NA,34,"Newcastle",723,"Joelinton",NA,NA,"Card","Yellow Card","Foul"
1378970,58,NA,66,"Aston Villa",1904,"Boubacar Kamara",NA,NA,"Card","Yellow Card","Foul"
1378970,66,NA,66,"Aston Villa",19354,"Ezri Konsa",NA,NA,"Card","Red Card","Professional foul last man"
1378970,78,NA,34,"Newcastle",153430,"A. Elanga",19163,"J. Murphy","subst","Substitution 5",NA
1378970,83,NA,34,"Newcastle",723,"Joelinton",328105,"L. Miley","subst","Substitution 7",NA
1378970,84,NA,66,"Aston Villa",19191,"J. McGinn",249,"D. Malen","subst","Substitution 6",NA
1378970,90,NA,34,"Newcastle",18778,"H. Barnes",315237,"W. Osula","subst","Substitution 8",NA
1378971,31,NA,36,"Fulham",152967,"Calvin Bassey",NA,NA,"Card","Yellow Card","Foul"
1378971,55,NA,51,"Brighton",19030,"M. O'Riley",NA,NA,"Goal","Penalty",NA
1378971,60,NA,51,"Brighton",106835,"Kaoru Mitoma",NA,NA,"Card","Yellow Card","Foul"
1378971,66,NA,36,"Fulham",2887,"R. Jimenez",195106,"Rodrigo Muniz","subst","Substitution 3",NA
1378971,66,NA,36,"Fulham",1934,"S. Berge",19025,"T. Cairney","subst","Substitution 4",NA
1378971,66,NA,36,"Fulham",1455,"A. Iwobi",18753,"A. Traore","subst","Substitution 5",NA
1378971,69,NA,51,"Brighton",90590,"G. Rutter",1469,"D. Welbeck","subst","Substitution 4",NA
